Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Pepinillos.png,0.0038966441241518046,None,0,0,0,1,0,0,0,28,12.143210899987025,None,13.331724199990276,None,14.893809000001056,None,18.744383030009338,None,19.760330699995393,None,3.604166666666667,2.0980976999853738,19.760330699995393,None,20.860595430005922,None,21.858261599991238,None,4.606770833333333,1.9166261999926064,21.858261599991238,None,22.86072854998929,None,23.843821799993748,None,4.580729166666667,1.982383899972774,23.843821799993748,None,Sebastian,001,2021_Jan_08_1838,piloto1,2020.2.5,59.99098935462613,
1500,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,0,0,1,0,1,1,33,,,,,,,,,,,,,,,,,,,,,,,24.87676006000838,25.87751349998871,25.87751349998871,None,3.421875,1.5244884999992792,25.87751349998871,None,Sebastian,001,2021_Jan_08_1838,piloto1,2020.2.5,59.99098935462613,
1500,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,1,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,26.427000529997166,27.427688099996885,27.427688099996885,None,2.77734375,1.5729186999960802,27.427688099996885,None,Sebastian,001,2021_Jan_08_1838,piloto1,2020.2.5,59.99098935462613,
1500,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,1,0,3,3,25,,,,,,,,,,,,,,,,,,,,,,,28.06048458998266,29.060485199996037,29.060485199996037,None,3.63671875,1.3738369999919087,29.060485199996037,None,Sebastian,001,2021_Jan_08_1838,piloto1,2020.2.5,59.99098935462613,
1500,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,1,0,4,4,21,,,,,,,,,,,,,,,,,,,,,,,29.46039072999556,30.465663399983896,30.447231199999806,None,4.6328125,1.3132499000057578,30.447231199999806,None,Sebastian,001,2021_Jan_08_1838,piloto1,2020.2.5,59.99098935462613,
1500,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,0,0,1,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,30.812506759987443,None,31.8107447999937,None,3.40234375,1.783789799985243,31.8107447999937,None,Sebastian,001,2021_Jan_08_1838,piloto1,2020.2.5,59.99098935462613,
1500,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,0,0,1,0,6,6,29,,,,,,,,,,,,,,,,,,,,,,,32.626922029993146,33.62732090000645,33.62732090000645,None,2.380208333333333,1.7572634000098333,33.62732090000645,None,Sebastian,001,2021_Jan_08_1838,piloto1,2020.2.5,59.99098935462613,
1500,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,1,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,34.4435934899986,35.44430060000741,35.41105369999423,None,3.591145833333333,1.5847316000144929,35.41105369999423,None,Sebastian,001,2021_Jan_08_1838,piloto1,2020.2.5,59.99098935462613,
1500,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,0,0,1,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,36.06032626000233,None,37.04395749999094,None,4.6328125,1.584894900006475,37.04395749999094,None,Sebastian,001,2021_Jan_08_1838,piloto1,2020.2.5,59.99098935462613,
1500,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,0,0,1,0,9,9,27,,,,,,,,,,,,,,,,,,,,,,,37.66059922999411,38.66087870000047,38.66087870000047,None,5.53125,1.4920839999977034,38.66087870000047,None,Sebastian,001,2021_Jan_08_1838,piloto1,2020.2.5,59.99098935462613,
