Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.02,imagenes/Coliflor.jpg,0.3640740491088985,None,0,0,0,2,0,0,0,24,9.67174600000726,None,15.63052360000438,None,16.890841899992665,None,20.19104776000895,None,21.205832300009206,None,3.3372395833333335,2.113656400004402,21.205832300009206,None,22.324416559995733,None,23.319884399999864,None,1.4231770833333335,1.5501980000117328,23.319884399999864,None,23.9243581799994,24.92417889999342,24.92417889999342,None,5.895833333333334,1.8699868000112474,24.92417889999342,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,0,0,2,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,25.84118021999602,None,26.824056699988432,None,5.94140625,1.4172331999870948,26.824056699988432,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,0,0,2,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,27.324671939999096,None,28.30787980000605,None,5.9609375,1.3515239999978803,28.30787980000605,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Pizza.png,0.21192443516553439,None,0,0,0,2,0,3,3,31,,,,,,,,,,,,,,,,,,,,,,,28.707578120008108,None,29.69098459999077,None,5.9609375,1.2491486000071745,29.69098459999077,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,2,0,4,4,20,,,,,,,,,,,,,,,,,,,,,,,29.99076811999548,None,30.97397279998404,None,5.9609375,1.2124489000125322,30.97397279998404,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,0,0,2,0,5,5,32,,,,,,,,,,,,,,,,,,,,,,,31.240756519994463,None,32.240680399991106,None,5.9609375,1.2416914000059478,32.240680399991106,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Banano.jpeg,0.2267656716538785,None,0,0,0,2,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,32.52392551999655,None,33.5079027999891,None,5.9609375,1.2031196000170894,33.5079027999891,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,2,0,7,7,18,,,,,,,,,,,,,,,,,,,,,,,33.75747821999248,None,34.74092109999037,None,5.9609375,1.1848235999932513,34.74092109999037,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Chontaduro.png,0.8693553300418813,None,0,0,0,2,0,8,8,23,,,,,,,,,,,,,,,,,,,,,,,34.95821475999255,None,35.95688759998302,None,5.9609375,1.1873664000013378,35.95688759998302,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,0,0,2,0,9,9,13,,,,,,,,,,,,,,,,,,,,,,,36.17439466000942,37.1743165999942,37.1743165999942,None,5.9609375,1.2215733999910299,37.1743165999942,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
