Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes\Popetas.jpg,0.07650200324054446,None,0,0,0,3,0,0,0,16,9.422108250058955,None,9.4794812000182,None,None,None,9.4794812000182,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Galletas-festival.jpg,0.36121121246191135,None,0,0,0,3,0,1,1,7,10.322093220014358,None,10.31771380000282,None,3.643229166666667,0.3496974000008777,10.31771380000282,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Banano.jpeg,0.651633055306917,None,0,0,0,3,0,2,2,1,10.705108959996142,None,10.694841699994868,None,3.565104166666667,0.1862087000044994,10.694841699994868,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Galletas Tosh.jpg,0.478088790487872,None,0,0,0,3,0,3,3,6,10.938607589999448,None,10.929480099992361,None,3.565104166666667,0.10202570000546984,10.929480099992361,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Croissant.jpg,0.6152458173421255,None,0,0,0,3,0,4,4,5,11.088760789996014,None,11.084952600009274,None,3.565104166666667,0.09760780000942759,11.084952600009274,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Alpinito.jpg,0.4515332417045813,None,0,0,0,3,0,5,5,0,11.222226660011803,None,11.221128100005444,None,3.565104166666667,0.14285070000914857,11.221128100005444,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Chocoramo.jfif.jpg,0.7789437122019539,None,0,0,0,3,0,6,6,4,11.438577220012666,None,11.430097500007832,None,3.565104166666667,0.08462509998935275,11.430097500007832,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Papas-pollo.jpg,0.6683114062971784,None,0,0,0,3,0,7,7,15,11.555243360006717,11.555087699991418,11.546104500012007,None,3.565104166666667,0.10107340000104159,11.546104500012007,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Kiwi.jpg,0.5893907384852061,None,0,0,0,3,0,8,8,8,11.6718462299963,11.688432599999942,11.671082899993053,None,3.565104166666667,0.10960650001652539,11.671082899993053,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Papas-naturales.jpg,0.15856838916280946,None,0,0,0,3,0,9,9,13,11.805122830008623,11.82169129999238,11.810172700003022,None,3.565104166666667,0.1199460000207182,11.810172700003022,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Yogurt-alpina.jpg,0.21540995091807813,None,0,0,0,3,0,10,10,18,11.972256460005884,11.978466900007334,11.969847100001061,None,3.565104166666667,0.1110546000127215,11.969847100001061,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Leche-de-almendras.jpg,0.36073876480313727,None,0,0,0,3,0,11,11,9,12.172213650017511,None,12.178646300017135,None,3.565104166666667,0.03808070000377484,12.178646300017135,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Papas-limon.jpg,0.020692288100133793,None,0,0,0,3,0,12,12,14,12.238574730005348,None,12.238521199993556,None,3.565104166666667,0.1262599999899976,12.238521199993556,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Uvas.jpg,0.7734382152670648,None,0,0,0,3,0,13,13,19,12.405472760013073,None,12.400338000006741,None,3.565104166666667,0.0978266000165604,12.400338000006741,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Nutella (1).jpg,0.5277483225747329,None,0,0,0,3,0,14,14,12,12.538492460019189,None,12.52907590000541,None,3.565104166666667,0.10277189998305403,12.52907590000541,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Brownie.jpg,0.17000143351927688,None,0,0,0,3,0,15,15,3,12.688191290001852,None,12.694575800007442,None,3.565104166666667,0.06968590000178665,12.694575800007442,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Mango.jpeg,0.555669112372461,None,0,0,0,3,0,16,16,10,12.805302859994118,12.81241760001285,12.806480200000806,None,3.565104166666667,0.12349180001183413,12.806480200000806,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\bon-bon-bun.jpg,0.7387922093313524,None,0,0,0,3,0,17,17,2,12.972063959995285,12.973327100015013,12.965619399998104,None,3.565104166666667,0.10058369999751449,12.965619399998104,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Rosquitas (1).jpg,0.3035383390851263,None,0,0,0,3,0,18,18,17,13.105278760002694,None,13.11030580001534,None,3.565104166666667,0.08680330001516268,13.11030580001534,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,imagenes\Manzana.jpg,0.5168162194437935,None,0,0,0,3,0,19,19,11,13.23836525999359,13.238249599991832,13.231434899993474,None,3.565104166666667,0.11652019998291507,13.231434899993474,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1000,0.0,,,,0,0,0,3,,,,,,,,,,,,,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1500,0.02,imagenes\Popetas.jpg,0.07650200324054446,None,0,1,1,1,0,0,0,16,13.405278990004446,13.417491700005485,13.411461700015934,None,3.565104166666667,0.0859710999939125,13.411461700015934,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
