0.9017 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
8.1187 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
9.6256 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002621EFDE630>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002621EE7B6A0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.6263 	EXP 	window1: mouseVisible = True
9.6263 	EXP 	window1: recordFrameIntervals = False
9.7908 	EXP 	window1: recordFrameIntervals = True
9.9734 	EXP 	window1: recordFrameIntervals = False
10.1495 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='0.01719682485690477', units='height', win=Window(...), wrapWidth=1)
10.1875 	EXP 	Sound sound_3 set volume 1.000
10.1876 	EXP 	Sound Sonido set volume 1.000
10.1900 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
10.1988 	EXP 	window1: mouseVisible = True
10.2182 	EXP 	Created slider_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, color='LightGray', depth=0, flip=False, font='HelveticaBold', granularity=0, labelHeight=0.05, labelWrapWidth=None, labels=('0', '1000', '2000', '3000', '4000', '5000'), name='slider_2', pos=(0, -0.3), readOnly=False, self=UNKNOWN, size=(1.0, 0.05), style=method-wrapper(...), ticks=array([1, 2, 3, 4, 5, 6]), units='height', win=Window(...))
10.2488 	EXP 	slider_2: autoLog = True
10.2488 	EXP 	slider_2: markerPos = None
10.2488 	EXP 	slider_2: rating = None
10.2488 	EXP 	slider_2: markerPos = None
10.2488 	EXP 	slider_2: contrast = 1.0
10.2488 	EXP 	slider_2: autoLog = True
10.2488 	EXP 	slider_2: style = ['rating']
10.2488 	EXP 	text: autoDraw = True
11.2765 	EXP 	text: autoDraw = False
21.3447 	EXP 	Imported ruidos.xlsx as conditions, 4 conditions, 2 params
21.3450 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
21.3452 	EXP 	New trial (rep=0, index=0): OrderedDict([('Hertz', 400), ('volumen', 0.02)])
21.3512 	EXP 	Imported imagenes.xlsx as conditions, 20 conditions, 3 params
21.3514 	EXP 	Created sequence: random, trialTypes=20, nReps=1, seed=None
21.3516 	EXP 	New trial (rep=0, index=0): OrderedDict([('Imagenes', 'imagenes\\Papas-limon.jpg'), ('Random', 0.020692288100133793), ('Correcto', None)])
21.3741 	EXP 	image_2: image = 'imagenes\\Papas-limon.jpg'
21.3741 	EXP 	slider_2: markerPos = None
21.3741 	EXP 	slider_2: markerPos = None
21.3741 	EXP 	slider_2: rating = None
23.3991 	EXP 	image_2: autoDraw = True
23.3991 	EXP 	slider_2: autoDraw = True
25.8080 	DATA 	Mouse: Left button down, pos=(866,150)
25.8231 	EXP 	slider_2: markerPos = 4.69140625
25.8403 	EXP 	slider_2: markerPos = 4.69140625
25.8569 	EXP 	slider_2: markerPos = 4.69140625
25.8733 	EXP 	slider_2: markerPos = 4.69140625
25.8903 	EXP 	slider_2: markerPos = 4.69140625
25.9065 	EXP 	slider_2: markerPos = 4.69140625
25.9234 	EXP 	slider_2: markerPos = 4.69140625
25.9397 	EXP 	slider_2: markerPos = 4.69140625
25.9567 	EXP 	slider_2: markerPos = 4.69140625
25.9732 	EXP 	slider_2: markerPos = 4.69140625
25.9903 	EXP 	slider_2: markerPos = 4.69140625
26.0066 	EXP 	slider_2: markerPos = 4.69140625
26.0239 	EXP 	slider_2: markerPos = 4.69140625
26.0404 	EXP 	slider_2: markerPos = 4.69140625
