Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text.started,text.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes\Nutella (1).jpg,0.5277483225747329,None,0,0,0,3,0,0,0,12,12.390943139992306,None,23.0904906299962,None,25.166956899993238,None,3.552083333333333,6.645117700005358,25.166956899993238,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Galletas-festival.jpg,0.36121121246191135,None,0,0,0,3,0,1,1,7,,,29.790542909998475,None,31.774889299995266,None,3.610677083333333,3.6494493999998667,31.774889299995266,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Yogurt-alpina.jpg,0.21540995091807813,None,0,0,0,3,0,2,2,18,,,33.47335743999865,35.47383759999502,35.47383759999502,None,3.4869791666666665,2.791572400004952,35.47383759999502,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Galletas Tosh.jpg,0.478088790487872,None,0,0,0,3,0,3,3,6,,,36.32332220999451,38.32353849999345,38.32353849999345,None,None,None,38.32353849999345,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Croissant.jpg,0.6152458173421255,None,0,0,0,3,0,4,4,5,,,46.35635700999337,48.356874099998095,48.356874099998095,46.359598899995035,None,None,48.356874099998095,46.359598899995035,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Chocoramo.jfif.jpg,0.7789437122019539,None,0,0,0,3,0,5,5,4,,,56.406171079995694,58.40605679999862,58.40605679999862,56.40636660000018,None,None,58.40605679999862,56.40636660000018,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\bon-bon-bun.jpg,0.7387922093313524,None,0,0,0,3,0,6,6,2,,,66.42186903999828,None,68.42220819999784,66.42310279999947,3.4869791666666665,3.490364599994791,68.42220819999784,66.42310279999947,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Popetas.jpg,0.07650200324054446,None,0,0,0,3,0,7,7,16,,,70.00509544999295,None,71.98918799999956,None,3.565104166666667,3.2162257999953,71.98918799999956,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Papas-naturales.jpg,0.15856838916280946,None,0,0,0,3,0,8,8,13,,,73.23841026999654,75.23837959999946,75.23837959999946,None,None,None,75.23837959999946,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Papas-limon.jpg,0.020692288100133793,None,0,0,0,3,0,9,9,14,,,83.23787956999368,85.23824779999995,85.23824779999995,83.24032649999572,3.552083333333333,2.371247499999299,85.23824779999995,83.24032649999572,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
