Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,0,0,0,0,0,0,32,9.93898586000214,None,20.021548750000875,21.095141099998727,21.095141099998727,None,2.575520833333333,1.9906402000015078,21.095141099998727,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,0,0,1,1,12,,,22.055230119999763,23.054989599997498,23.054989599997498,None,1.8723958333333335,1.33844599999793,23.054989599997498,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Pizza.png,0.21192443516553439,None,0,0,0,0,0,2,2,31,,,23.4379752199995,24.437721899997996,24.42109899999923,None,1.83984375,1.3111800999977277,24.42109899999923,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,0,0,3,3,9,,,24.87100647000007,None,25.854358499997034,None,1.83984375,1.1306216999983008,25.854358499997034,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Manzana.jpg,0.4048420327008191,None,0,0,0,0,0,4,4,11,,,26.037731519997763,27.03766170000017,27.03766170000017,None,1.83984375,1.6204361000018253,27.03766170000017,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,0,0,0,0,5,5,0,,,27.73815823999976,None,28.73796299999958,None,2.2434895833333335,1.5401294999974198,28.73796299999958,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,0,0,0,0,6,6,10,,,29.321025219999868,None,30.304274999998597,None,2.419270833333333,1.2026331000015489,30.304274999998597,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,0,0,7,7,35,,,30.538092309997957,None,31.537955499999953,None,2.419270833333333,2.4761752000013075,31.537955499999953,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,0,0,8,8,4,,,33.05422521999863,34.05432490000021,34.05432490000021,None,2.419270833333333,1.289288600000873,34.05432490000021,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,0,0,9,9,7,,,34.387471919998646,35.387663800000155,35.387663800000155,None,2.34765625,1.7439268000016455,35.387663800000155,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,0,0,10,10,3,,,36.18742113000081,None,37.17092789999879,None,2.1783854166666665,1.0510223999990558,37.17092789999879,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
