Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,text_subasta1.started,text_subasta1.stopped,text_subasta2.started,text_subasta2.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_producto.started,text_producto.stopped,image.started,image.stopped,texto_final.started,texto_final.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,2,0,0,0,9,11.294312499987427,None,12.206337499985239,None,13.233352599985665,None,14.783177970009273,None,15.786096700001508,None,3.604166666666667,2.864903300011065,15.786096700001508,None,17.66661456998845,None,18.66175289999228,None,5.58984375,1.6507739999797195,18.66175289999228,None,19.44973876000731,None,20.442705499997828,None,5.98046875,2.098884299979545,20.442705499997828,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,2,0,1,1,25,,,,,,,,,,,,,,,,,,,,,,,21.600128509986096,None,22.58416440000292,None,5.98046875,1.1110246000171173,22.58416440000292,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,2,0,2,2,18,,,,,,,,,,,,,,,,,,,,,,,22.74958403999917,23.75054989999626,23.734142700006487,None,5.98046875,1.0500360000005458,23.734142700006487,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,2,0,3,3,19,,,,,,,,,,,,,,,,,,,,,,,23.83366084000445,24.833571800001664,24.833571800001664,None,5.98046875,1.2072106999985408,24.833571800001664,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,2,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,25.067009169989614,26.066685099998722,26.066685099998722,None,5.98046875,1.1542601000110153,26.066685099998722,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,2,0,5,5,20,,,,,,,,,,,,,,,,,,,,,,,26.266768139996564,None,27.250281399989035,None,5.954427083333334,1.1281774000090081,27.250281399989035,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,2,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,27.43304864000529,None,28.416887700004736,None,5.947916666666666,1.1307951000053436,28.416887700004736,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Manzana.jpg,0.4048420327008191,None,0,0,0,2,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,28.59980254000984,29.600201399996877,29.600201399996877,None,5.947916666666666,1.0760003000032157,29.600201399996877,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,2,0,8,8,30,,,,,,,,,,,,,,,,,,,,,,,29.700399069991544,None,30.70019339999999,None,5.947916666666666,1.1587061999889556,30.70019339999999,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Pandebono.png,0.8988574378129985,None,0,0,0,2,0,9,9,26,,,,,,,,,,,,,,,,,,,,,,,30.89975374000496,None,31.883660199993756,None,5.947916666666666,1.1485456000082195,31.883660199993756,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
