Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,textbox_prueba_2.started,textbox_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,text_subasta1.started,text_subasta1.stopped,text_subasta2.started,text_subasta2.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_producto.started,text_producto.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,3,0,0,0,4,11.151096699992195,None,11.584128599963151,None,13.464165299956221,None,14.780241399939404,None,15.821401799970772,None,2.549479166666667,1.763951500004623,15.821401799970772,None,16.56333099997719,None,17.559917799953837,None,4.326822916666667,1.1511245000292547,17.559917799953837,None,17.730051899969112,None,19.846510699979262,None,20.829662499949336,None,1.0065104166666665,1.6944042000104673,20.829662499949336,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,3,0,1,1,35,,,,,,,,,,,,,,,,,,,,,,,,,21.563014199951432,22.56319929996971,22.56319929996971,None,1.0065104166666665,1.2403991000028327,22.56319929996971,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,3,0,2,2,30,,,,,,,,,,,,,,,,,,,,,,,,,22.829709799954436,None,23.81300469994312,None,1.0065104166666665,1.280614199989941,23.81300469994312,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,24.163091199978954,None,25.146316799975466,None,1.0065104166666665,1.1181181999854743,25.146316799975466,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,3,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,25.313006299943666,26.313603499962483,26.313603499962483,None,1.0260416666666665,1.3064589999848977,26.313603499962483,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,3,0,5,5,21,,,,,,,,,,,,,,,,,,,,,,,,,26.646211499982748,27.646117899974342,27.646117899974342,None,1.0260416666666665,1.2069087999989279,27.646117899974342,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Pizzetas.png,0.3295951589873042,None,0,0,0,3,0,6,6,32,,,,,,,,,,,,,,,,,,,,,,,,,27.89666229997529,None,28.879484799981583,None,1.0260416666666665,1.195103200036101,28.879484799981583,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Canelazo.png,0.6730479360767814,None,0,0,0,3,0,7,7,22,,,,,,,,,,,,,,,,,,,,,,,,,29.162905499956107,None,30.145975599996746,None,1,1.2320108999847434,30.145975599996746,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Banano.jpeg,0.2267656716538785,None,0,0,0,3,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,30.41328209998901,31.413129499997012,31.413129499997012,None,1,1.1734504000050947,31.413129499997012,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Rollo de queso.png,0.9201641182756888,None,0,0,0,3,0,9,9,33,,,,,,,,,,,,,,,,,,,,,,,,,31.62956429999322,None,32.61276609997731,None,1,1.2158478999626823,32.61276609997731,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Manzana.jpg,0.4048420327008191,None,0,0,0,3,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,32.879326699988454,None,33.8626263999613,None,1,1.0482447000104003,33.8626263999613,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Mango.jpeg,0.4341155418941499,None,0,0,0,3,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,33.96264739996987,34.962654699978884,34.94601019995753,None,1,1.1360302999964915,34.94601019995753,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,3,0,12,12,2,,,,,,,,,,,,,,,,,,,,,,,,,35.1292905999464,36.1292192999972,36.1292192999972,None,1,1.1434507999802008,36.1292192999972,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Pepinillos.png,0.0038966441241518046,None,0,0,0,3,0,13,13,28,,,,,,,,,,,,,,,,,,,,,,,,,36.31247619998176,37.31239199999254,37.31239199999254,None,1,1.2102558999904431,37.31239199999254,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Chontaduro.png,0.8693553300418813,None,0,0,0,3,0,14,14,23,,,,,,,,,,,,,,,,,,,,,,,,,37.54573359997594,38.54585369996494,38.54585369996494,None,1,1.2088393999729306,38.54585369996494,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,3,0,15,15,20,,,,,,,,,,,,,,,,,,,,,,,,,38.79573949995684,39.79581769998185,39.79581769998185,None,1,1.091620499966666,39.79581769998185,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Rollos de canela.png,0.2610974409574519,None,0,0,0,3,0,16,16,34,,,,,,,,,,,,,,,,,,,,,,,,,39.9291375999921,None,40.9121411999804,None,1,1.5351510000182316,40.9121411999804,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Croissant.jpg,0.5824748589948932,None,0,0,0,3,0,17,17,5,,,,,,,,,,,,,,,,,,,,,,,,,41.49577789996984,42.49573419999797,42.479573699994944,None,1,1.3450931999832392,42.479573699994944,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1000,0.0,imagenes/Kiwi.jpg,0.3929145850942286,None,0,0,0,3,0,18,18,8,,,,,,,,,,,,,,,,,,,,,,,,,42.86237699997728,43.86229449999519,43.84539369994309,None,1,1.3800820999895222,43.84539369994309,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
